% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.200000E+001  0.477097E-003 -0.185007E-002  0.191060E-002
 -0.500000E+001 -0.500000E+001  0.202000E+001  0.144710E-002 -0.169339E-002  0.222748E-002
 -0.500000E+001 -0.500000E+001  0.204000E+001  0.223079E-002 -0.112715E-002  0.249937E-002
 -0.500000E+001 -0.500000E+001  0.206000E+001  0.270509E-002 -0.296077E-003  0.272124E-002
 -0.500000E+001 -0.500000E+001  0.208000E+001  0.282357E-002  0.643174E-003  0.289590E-002
 -0.500000E+001 -0.500000E+001  0.210000E+001  0.259750E-002  0.155112E-002  0.302539E-002
 -0.500000E+001 -0.500000E+001  0.212000E+001  0.208384E-002  0.231548E-002  0.311509E-002
 -0.500000E+001 -0.500000E+001  0.214000E+001  0.136439E-002  0.286088E-002  0.316957E-002
 -0.500000E+001 -0.500000E+001  0.216000E+001  0.531455E-003  0.314806E-002  0.319260E-002
 -0.500000E+001 -0.500000E+001  0.218000E+001 -0.326085E-003  0.317326E-002  0.318997E-002
 -0.500000E+001 -0.500000E+001  0.220000E+001 -0.113000E-002  0.295489E-002  0.316359E-002
 -0.500000E+001 -0.500000E+001  0.222000E+001 -0.181268E-002  0.253601E-002  0.311724E-002
 -0.500000E+001 -0.500000E+001  0.224000E+001 -0.233662E-002  0.196669E-002  0.305412E-002
 -0.500000E+001 -0.500000E+001  0.226000E+001  0.117822E-001  0.252427E-002  0.120496E-001
 -0.500000E+001 -0.500000E+001  0.228000E+001 -0.554648E-002  0.674003E-002  0.872877E-002
 -0.500000E+001 -0.500000E+001  0.230000E+001 -0.777142E-002 -0.293173E-003  0.777695E-002
 -0.500000E+001 -0.500000E+001  0.232000E+001 -0.482495E-002 -0.415881E-002  0.636992E-002
 -0.500000E+001 -0.500000E+001  0.234000E+001 -0.138686E-002 -0.468630E-002  0.488721E-002
 -0.500000E+001 -0.500000E+001  0.236000E+001  0.813969E-003 -0.340555E-002  0.350147E-002
 -0.500000E+001 -0.500000E+001  0.238000E+001  0.154855E-002 -0.167668E-002  0.228238E-002
 -0.500000E+001 -0.500000E+001  0.240000E+001  0.122130E-002 -0.317202E-003  0.126182E-002
 -0.500000E+001 -0.500000E+001  0.242000E+001  0.389766E-003  0.351518E-003  0.524864E-003
 -0.500000E+001 -0.500000E+001  0.244000E+001 -0.470448E-003  0.347657E-003  0.584967E-003
 -0.500000E+001 -0.500000E+001  0.246000E+001 -0.105274E-002 -0.129663E-003  0.106070E-002
 -0.500000E+001 -0.500000E+001  0.248000E+001 -0.122439E-002 -0.822535E-003  0.147502E-002
 -0.500000E+001 -0.500000E+001  0.250000E+001 -0.991620E-003 -0.149433E-002  0.179341E-002
 -0.500000E+001 -0.500000E+001  0.252000E+001 -0.451230E-003 -0.197226E-002  0.202322E-002
 -0.500000E+001 -0.500000E+001  0.254000E+001  0.256381E-003 -0.216162E-002  0.217677E-002
 -0.500000E+001 -0.500000E+001  0.256000E+001  0.985258E-003 -0.204126E-002  0.226660E-002
 -0.500000E+001 -0.500000E+001  0.258000E+001  0.161036E-002 -0.164825E-002  0.230434E-002
 -0.500000E+001 -0.500000E+001  0.260000E+001  0.204269E-002 -0.105813E-002  0.230049E-002
 -0.500000E+001 -0.500000E+001  0.262000E+001  0.223475E-002 -0.365167E-003  0.226439E-002
 -0.500000E+001 -0.500000E+001  0.264000E+001  0.217876E-002  0.334791E-003  0.220433E-002
