% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.240000E+001  0.122129E-002 -0.317256E-003  0.126182E-002
 -0.500000E+001 -0.500000E+001  0.242000E+001  0.389754E-003  0.351536E-003  0.524867E-003
 -0.500000E+001 -0.500000E+001  0.244000E+001 -0.470456E-003  0.347672E-003  0.584982E-003
 -0.500000E+001 -0.500000E+001  0.246000E+001 -0.105274E-002 -0.129651E-003  0.106070E-002
 -0.500000E+001 -0.500000E+001  0.248000E+001 -0.122438E-002 -0.822528E-003  0.147501E-002
 -0.500000E+001 -0.500000E+001  0.250000E+001 -0.991590E-003 -0.149433E-002  0.179339E-002
 -0.500000E+001 -0.500000E+001  0.252000E+001 -0.451166E-003 -0.197225E-002  0.202320E-002
 -0.500000E+001 -0.500000E+001  0.254000E+001  0.256509E-003 -0.216162E-002  0.217679E-002
 -0.500000E+001 -0.500000E+001  0.256000E+001  0.985514E-003 -0.204126E-002  0.226671E-002
 -0.500000E+001 -0.500000E+001  0.258000E+001  0.161090E-002 -0.164825E-002  0.230471E-002
 -0.500000E+001 -0.500000E+001  0.260000E+001  0.204387E-002 -0.105813E-002  0.230153E-002
 -0.500000E+001 -0.500000E+001  0.262000E+001  0.223760E-002 -0.365165E-003  0.226720E-002
 -0.500000E+001 -0.500000E+001  0.264000E+001  0.218658E-002  0.334796E-003  0.221206E-002
 -0.500000E+001 -0.500000E+001  0.266000E+001  0.192633E-002  0.957332E-003  0.215110E-002
 -0.500000E+001 -0.500000E+001  0.268000E+001  0.157677E-002  0.143794E-002  0.213398E-002
 -0.500000E+001 -0.500000E+001  0.270000E+001  0.314559E-002  0.173623E-002  0.359294E-002
 -0.500000E+001 -0.500000E+001  0.272000E+001 -0.125702E-002 -0.613922E-002  0.626659E-002
 -0.500000E+001 -0.500000E+001  0.274000E+001  0.487594E-002  0.861435E-003  0.495145E-002
 -0.500000E+001 -0.500000E+001  0.276000E+001  0.145032E-002  0.498241E-002  0.518920E-002
 -0.500000E+001 -0.500000E+001  0.278000E+001 -0.255233E-002  0.437116E-002  0.506176E-002
 -0.500000E+001 -0.500000E+001  0.280000E+001 -0.439112E-002  0.165063E-002  0.469110E-002
 -0.500000E+001 -0.500000E+001  0.282000E+001 -0.408631E-002 -0.104458E-002  0.421771E-002
 -0.500000E+001 -0.500000E+001  0.284000E+001 -0.256091E-002 -0.269442E-002  0.371728E-002
 -0.500000E+001 -0.500000E+001  0.286000E+001 -0.757321E-003 -0.313427E-002  0.322447E-002
 -0.500000E+001 -0.500000E+001  0.288000E+001  0.693717E-003 -0.266339E-002  0.275226E-002
 -0.500000E+001 -0.500000E+001  0.290000E+001  0.151867E-002 -0.173181E-002  0.230338E-002
 -0.500000E+001 -0.500000E+001  0.292000E+001  0.172161E-002 -0.746730E-003  0.187658E-002
 -0.500000E+001 -0.500000E+001  0.294000E+001  0.146965E-002  0.174307E-004  0.146975E-002
 -0.500000E+001 -0.500000E+001  0.296000E+001  0.989171E-003  0.436751E-003  0.108130E-002
 -0.500000E+001 -0.500000E+001  0.298000E+001  0.490995E-003  0.513592E-003  0.710530E-003
 -0.500000E+001 -0.500000E+001  0.300000E+001  0.127666E-003  0.334173E-003  0.357729E-003
 -0.500000E+001 -0.500000E+001  0.302000E+001 -0.219482E-004  0.239927E-004  0.325173E-004
 -0.500000E+001 -0.500000E+001  0.304000E+001  0.516098E-004 -0.289578E-003  0.294141E-003
 -0.500000E+001 -0.500000E+001  0.306000E+001  0.304258E-003 -0.503400E-003  0.588205E-003
 -0.500000E+001 -0.500000E+001  0.308000E+001  0.658978E-003 -0.552725E-003  0.860091E-003
 -0.500000E+001 -0.500000E+001  0.310000E+001  0.102498E-002 -0.414953E-003  0.110579E-002
 -0.500000E+001 -0.500000E+001  0.312000E+001  0.130445E-002 -0.105560E-003  0.130871E-002
 -0.500000E+001 -0.500000E+001  0.314000E+001  0.125930E-002  0.330946E-003  0.130206E-002
 -0.500000E+001 -0.500000E+001  0.316000E+001  0.164216E-001  0.142147E-002  0.164830E-001
 -0.500000E+001 -0.500000E+001  0.318000E+001 -0.335209E-002  0.490493E-002  0.594094E-002
 -0.500000E+001 -0.500000E+001  0.320000E+001 -0.201128E-002 -0.134894E-002  0.242175E-002
 -0.500000E+001 -0.500000E+001  0.322000E+001  0.183055E-002 -0.124056E-002  0.221132E-002
 -0.500000E+001 -0.500000E+001  0.324000E+001  0.297606E-002  0.156733E-002  0.336355E-002
 -0.500000E+001 -0.500000E+001  0.326000E+001  0.155789E-002  0.389020E-002  0.419054E-002
 -0.500000E+001 -0.500000E+001  0.328000E+001 -0.882258E-003  0.451974E-002  0.460504E-002
 -0.500000E+001 -0.500000E+001  0.330000E+001 -0.301141E-002  0.359940E-002  0.469300E-002
 -0.500000E+001 -0.500000E+001  0.332000E+001 -0.415421E-002  0.183734E-002  0.454238E-002
 -0.500000E+001 -0.500000E+001  0.334000E+001 -0.422590E-002 -0.274735E-004  0.422599E-002
 -0.500000E+001 -0.500000E+001  0.336000E+001 -0.350016E-002 -0.148311E-002  0.380141E-002
 -0.500000E+001 -0.500000E+001  0.338000E+001 -0.237996E-002 -0.230543E-002  0.331349E-002
 -0.500000E+001 -0.500000E+001  0.340000E+001 -0.123588E-002 -0.250898E-002  0.279685E-002
 -0.500000E+001 -0.500000E+001  0.342000E+001 -0.321866E-003 -0.225548E-002  0.227833E-002
 -0.500000E+001 -0.500000E+001  0.344000E+001  0.246271E-003 -0.176224E-002  0.177936E-002
 -0.500000E+001 -0.500000E+001  0.346000E+001  0.471539E-003 -0.123208E-002  0.131923E-002
 -0.500000E+001 -0.500000E+001  0.348000E+001  0.436667E-003 -0.811662E-003  0.921669E-003
 -0.500000E+001 -0.500000E+001  0.350000E+001  0.261086E-003 -0.576127E-003  0.632525E-003
 -0.500000E+001 -0.500000E+001  0.352000E+001  0.642392E-004 -0.533562E-003  0.537415E-003
 -0.500000E+001 -0.500000E+001  0.354000E+001 -0.595288E-004 -0.641596E-003  0.644352E-003
